"Story","Title","Result","Date","Stability","Duration (s)"
"Conference playback on the TED platform","Reproduce a conference on the TED platform","SUCCESS","2019-07-30T16:20:25.887-05:00[America/Bogota]","0.0","46.74"
"Conference playback on the TED plataform","Reproduce a conference on the TED platform","SUCCESS","2019-07-30T16:28:48.987-05:00[America/Bogota]","0.0","47.79"
